id;nome;descricao;codigo_barras;categoria;custo_aquisicao;preco_venda;quantidade_estoque;estoque_minimo;unidade_medida;data_cadastro
1;oddly qua;while;amid invite;what till;18268.55;17671.59;24500;20722;L;2025-05-09
2;to seafood;snarling loyally;zowie meatloaf;blah decent;20337.84;26076.05;22357;9209;L;2025-05-10
3;voluntarily married or;onset sympathetically flint;as provided;cash acidly at;28280.46;13969.78;22360;31495;KG;2025-05-10
4;utterly abscond;microchip;noisily;dimly sternly;11761.77;7244.09;24323;15671;UNIDADE;2025-05-10
5;scarily;whistle incidentally soon;times loaf;although defiantly;11237.85;6933.14;25467;28564;UNIDADE;2025-05-09
6;qua hmph management;officially overdue plumber;searchingly when;behind;21055.25;24246.79;22352;25495;KG;2025-05-10
7;access whereas sans;incidentally oh outrageous;chase;lively toe;14787.87;20379.4;19101;888;UNIDADE;2025-05-10
8;meh;arbitrate trust ew;cruelly untidy exasperation;pointed;559.3;20736.18;22507;26981;UNIDADE;2025-05-10
9;glossy now whereas;vary;elderly;seldom although perky;30269.85;17435.89;10594;23681;KG;2025-05-10
10;lest clear miserably;ack understanding calmly;unscramble;far bah;4187.12;22646.78;20819;26312;L;2025-05-10
