id;data_venda;valor_total;desconto_total;forma_pagamento;parcelas;nota_fiscal_emitida;estatus;observacoes
1;2025-05-10;28993.45;14836.97;CREDITO;2120;true;EM_ABERTO;so
2;2025-05-10;12251.35;14127.8;CREDITO;6666;true;FINALIZADA;brightly
3;2025-05-09;27513.7;5981.07;CREDITO;27082;true;FINALIZADA;propound
4;2025-05-10;6627.25;2760.38;PIX;21672;false;FINALIZADA;evenly jacket imaginary
5;2025-05-10;18897.94;28986.95;DINHEIRO_FISICO;3300;false;FINALIZADA;who
6;2025-05-10;1553.83;29865.95;CREDITO;17811;false;CANCELADA;equatorial
7;2025-05-10;581.06;18996.78;DINHEIRO_FISICO;21356;false;CANCELADA;actually
8;2025-05-10;15281.6;23546.48;DEBITO;18394;true;FINALIZADA;always solemnly ah
9;2025-05-10;29144.67;25156.71;DINHEIRO_FISICO;21720;true;FINALIZADA;cute unripe
10;2025-05-09;6589.08;20181.9;DINHEIRO_FISICO;17370;false;CANCELADA;basic
